port,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
LANE3_ALIGN_LINK,no,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link,q0_lane3_align_link
LANE3_ALIGN_TRIGGER,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANE3_CHBOND_START,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANE3_CUR_DISP_O,no,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o,q0_lane3_cur_disp_o
LANE3_DEC_ERR_O,no,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o,q0_lane3_dec_err_o
LANE3_DISP_ERR_O,no,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o,q0_lane3_disp_err_o
LANE3_FABRIC_C2I_CLK,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LANE3_FABRIC_RX_CLK,yes,0,0,0,0,0,q0_lane3_fabric_rx_clk,0,0,0,0,0,0,0,q0_lane3_fabric_rx_clk,0,0,0,0,q0_lane3_fabric_rx_clk,q0_lane3_fabric_rx_clk,0
LANE3_FABRIC_TX_CLK,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,q0_lane3_fabric_tx_clk,0,0,0,0,q0_lane3_fabric_tx_clk,q0_lane3_fabric_tx_clk,0
LANE3_K_LOCK,no,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock,q0_lane3_k_lock
LANE3_PCS_RX_O_FABRIC_CLK,no,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk,q0_lane3_pcs_rx_o_fabric_clk
LANE3_PCS_RX_RST,yes,0,0,0,0,0,q0_lane3_pcs_rx_rst,0,0,0,0,0,0,0,q0_lane3_pcs_rx_rst,0,0,0,0,q0_lane3_pcs_rx_rst,q0_lane3_pcs_rx_rst,0
LANE3_PCS_TX_O_FABRIC_CLK,no,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk,q0_lane3_pcs_tx_o_fabric_clk
LANE3_PCS_TX_RST,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,q0_lane3_pcs_tx_rst,0,0,0,0,q0_lane3_pcs_tx_rst,q0_lane3_pcs_tx_rst,0
