port,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
AHB_RSTN,yes,0,0,0,0,0,0,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o,ahb_rstn_o
CKN_MIPI_0,no,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0,q0_ckn_mipi_0
CKN_MIPI_1,no,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1,q0_ckn_mipi_1
CKP_MIPI_0,no,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0,q0_ckp_mipi_0
CKP_MIPI_1,no,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1,q0_ckp_mipi_1
CK_AHB_I,yes,0,0,0,0,0,0,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o
CLK_VIQ_I,yes,0:2,0:2,0:2,0:2,0:2,0:2,"{mclk_i,gw_gnd}",0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,"{gw_gnd,gpio_refclk_i}"
FABRIC_BURN_IN_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CK_SOC_DIV_I,no,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2,0:2
FABRIC_CLK_MON_O,no,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o,q0_fabric_clk_mon_o
FABRIC_CLK_REF_CORE_I,no,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4,0:4
FABRIC_CM0_PD_REFCLK_DET_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CM1_LIFE_CLK_O,no,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o,q0_fabric_cm1_life_clk_o
FABRIC_CM1_PD_REFCLK_DET_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CM2_PD_REFCLK_DET_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CM3_PD_REFCLK_DET_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CMU0_CLK,no,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk,q0_fabric_cmu0_clk
FABRIC_CMU0_IDDQ_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CMU0_PD_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CMU0_RESETN_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CMU1_CK_REF_O,no,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o,q0_fabric_cmu1_ck_ref_o
FABRIC_CMU1_CLK,no,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk,q0_fabric_cmu1_clk
FABRIC_CMU1_IDDQ_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CMU1_OK_O,no,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o,q0_fabric_cmu1_ok_o
FABRIC_CMU1_PD_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CMU1_REFCLK_GATE_ACK_O,no,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o,q0_fabric_cmu1_refclk_gate_ack_o
FABRIC_CMU1_REFCLK_GATE_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CMU1_RESETN_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CMU_CK_REF_O,no,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o,q0_fabric_cmu_ck_ref_o
FABRIC_CMU_OK_O,no,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o,q0_fabric_cmu_ok_o
FABRIC_CMU_REFCLK_GATE_ACK_O,no,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o,q0_fabric_cmu_refclk_gate_ack_o
FABRIC_CMU_REFCLK_GATE_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_CM_LIFE_CLK_O,no,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o,q0_fabric_cm_life_clk_o
FABRIC_GEARFIFO_ERR_RPT,no,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt,q0_fabric_gearfifo_err_rpt
FABRIC_GLUE_MAC_INIT_INFO_I,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABRIC_LANE0_64B66B_RX_VALID,no,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid,q0_fabric_lane0_64b66b_rx_valid
FABRIC_LANE0_64B66B_TX_FETCH,no,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch,q0_fabric_lane0_64b66b_tx_fetch
FABRIC_LANE0_64B66B_TX_INVLD_BLK,no,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk,q0_fabric_lane0_64b66b_tx_invld_blk
FABRIC_LANE0_CMU_CK_REF_O,no,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o,q0_fabric_lane0_cmu_ck_ref_o
FABRIC_LANE0_CMU_OK_O,no,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o,q0_fabric_lane0_cmu_ok_o
FABRIC_LANE1_64B66B_RX_VALID,no,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid,q0_fabric_lane1_64b66b_rx_valid
FABRIC_LANE1_64B66B_TX_FETCH,no,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch,q0_fabric_lane1_64b66b_tx_fetch
FABRIC_LANE1_64B66B_TX_INVLD_BLK,no,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk,q0_fabric_lane1_64b66b_tx_invld_blk
FABRIC_LANE1_CMU_CK_REF_O,no,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o,q0_fabric_lane1_cmu_ck_ref_o
FABRIC_LANE1_CMU_OK_O,no,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o,q0_fabric_lane1_cmu_ok_o
FABRIC_LANE2_64B66B_RX_VALID,no,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid,q0_fabric_lane2_64b66b_rx_valid
