address,varies,10gbaser_refclk0_156M25_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaprx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptrx,custom_8b10b_1g_refclk0_100m_qpll0_lane0_swaptx,jesd204b_refclk0_100M_qpll0_lane0123,usb3_mclk_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk0_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__1000basex_refclk1_125M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_cpll_lane1,usb3_refclk0_100M_qpll0_lane0__usb3_refclk1_100M_qpll1_lane1,usb3_refclk0_100M_qpll0_lane1,usb3_refclk0_100M_qpll0_lane3,usb3_refclk0_50M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane0,usb3_refclk1_100M_qpll0_lane1,usb3_refclk1_100M_qpll0_lane2,usb3_refclk1_100M_qpll0_lane3,usb3_refclk1_100M_qpll1_lane3,usb3_refin_100M_qpll0_lane0
0x00808544,no,,,,,,0x17171718,,,,,,,,0x17171718,,,,,0x17171718,0x17171718,
0x00808548,no,,,,,,0x15161616,,,,,,,,0x15161616,,,,,0x15161616,0x15161616,
0x0080854c,no,,,,,,0x14151515,,,,,,,,0x14151515,,,,,0x14151515,0x14151515,
0x00808550,no,,,,,,0x13141414,,,,,,,,0x13141414,,,,,0x13141414,0x13141414,
0x00808554,no,,,,,,0x12131313,,,,,,,,0x12131313,,,,,0x12131313,0x12131313,
0x00808558,no,,,,,,0x12121212,,,,,,,,0x12121212,,,,,0x12121212,0x12121212,
0x0080855c,no,,,,,,0x11111111,,,,,,,,0x11111111,,,,,0x11111111,0x11111111,
0x00808560,no,,,,,,0x10101011,,,,,,,,0x10101011,,,,,0x10101011,0x10101011,
0x00808564,no,,,,,,0x10101010,,,,,,,,0x10101010,,,,,0x10101010,0x10101010,
0x00808568,no,,,,,,0x0f0f0f0f,,,,,,,,0x0f0f0f0f,,,,,0x0f0f0f0f,0x0f0f0f0f,
0x0080856c,no,,,,,,0x0e0f0f0f,,,,,,,,0x0e0f0f0f,,,,,0x0e0f0f0f,0x0e0f0f0f,
0x00808570,no,,,,,,0x0e0e0e0e,,,,,,,,0x0e0e0e0e,,,,,0x0e0e0e0e,0x0e0e0e0e,
0x00808574,no,,,,,,0x0d0e0e0e,,,,,,,,0x0d0e0e0e,,,,,0x0d0e0e0e,0x0d0e0e0e,
0x00808578,no,,,,,,0x0d0d0d0d,,,,,,,,0x0d0d0d0d,,,,,0x0d0d0d0d,0x0d0d0d0d,
0x0080857c,no,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000
0x00808580,no,,,,,,0x00000014,,,,,,,,0x00000014,,,,,0x00000014,0x00000014,
0x00808584,yes,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000014,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000100,0x00000014,0x00000100,0x00000100,0x00000100,0x00000100,0x00000014,0x00000014,0x00000100
0x00808588,no,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef,0x89abcdef
0x0080858c,no,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567,0x01234567
0x00808598,no,,,,,,0x00000001,,,,,,,,0x00000001,,,,,0x00000001,0x00000001,
0x008085a0,yes,,,,,,0x00003150,,,,,,,,0x00003150,,,,,0x00003150,0x00003350,
0x008085b8,yes,,,,,,0x00000020,,,,,,,,0x00000030,,,,,0x00000030,0x00000030,
0x008085bc,no,,,,,,0x00000011,,,,,,,,0x00000011,,,,,0x00000011,0x00000011,
0x008085c0,yes,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000210,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000010,0x00000210,0x00000010,0x00000010,0x00000010,0x00000010,0x00000210,0x00000210,0x00000010
0x00808600,yes,0x00000312,0x0000001a,0x0000001a,0x0000001a,0x0000001a,0x0000011a,0x0000011a,0x0000011a,0x0000011a,0x0000011a,0x0000011a,0x0000011a,,,0x0000011a,0x0000011a,,,,,0x0000011a
0x00808604,no,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,,,0x0008020c,0x0008020c,,,,,0x0008020c
0x00808608,yes,,,,,,0x0000111a,,,0x0000101a,0x0000101a,0x0000111a,0x0000111a,0x0000111a,,,,0x0000111a,,,,
0x0080860c,no,,,,,,0x0008020c,,,0x0008020c,0x0008020c,0x0008020c,0x0008020c,0x0008020c,,,,0x0008020c,,,,
0x00808610,no,,,,,,0x0000211a,,,,,,,,,,,,0x0000211a,,,
0x00808614,no,,,,,,0x0008020c,,,,,,,,,,,,0x0008020c,,,
0x00808618,no,,,,,,0x0000311a,,,,,,,,0x0000311a,,,,,0x0000311a,0x0000311a,
0x0080861c,no,,,,,,0x0008020c,,,,,,,,0x0008020c,,,,,0x0008020c,0x0008020c,
